Pgn,A,B,C
0.0125,0.169,0.139,0.164
0.0125,0.138,0.168,0.182
0.0125,0.163,0.174,0.163
0.0125,0.179,0.113,0.107
0.025,0.24,0.207,0.228
0.025,0.249,0.317,0.327
0.025,0.292,0.28,0.309
0.025,0.3,0.185,0.176
0.05,0.379,0.344,0.351
0.05,0.417,0.505,0.575
0.05,0.417,0.412,0.538
0.05,0.439,0.366,0.314
0.1,0.575,0.606,0.694
0.1,0.575,0.585,0.758
0.1,0.606,0.654,0.794
0.1,0.595,0.538,0.483
0.2,0.794,0.877,0.855
0.2,0.758,0.926,1.111
0.2,0.855,0.709,1.075
0.2,0.794,0.629,0.775
0.4,0.926,0.98,1.19
0.4,0.926,0.926,1.19
0.4,1.01,0.901,1.149
0.4,1.01,0.775,1.042
0.8,1.075,0.926,1.235
0.8,0.877,0.877,1.449
0.8,1.111,1.075,1.449
0.8,1.075,0.901,1.282
1.6,1.149,0.952,1.282
1.6,0.926,0.877,1.149
1.6,1.111,0.901,1.449
1.6,0.758,0.575,1.449
